ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,length delta,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,qc_data
U2402,2016-06-11-J07-SO-30,2016-10-21,none,none,9,NA,92,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2403,2016-06-11-J07-SO-28,2016-10-21,none,none,21.2,NA,120,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2404,2016-06-11-J07-SO-21,2016-10-21,none,none,11.1,NA,107,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2405,2016-06-11-J07-SO-26,2016-10-21,none,none,8,NA,96,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2406,2016-06-11-J07-SO-27,2016-10-21,none,none,10,NA,105,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2407,2016-06-11-J07-SO-25,2016-10-21,none,none,10.1,NA,107,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2408,2016-06-11-J07-SO-29,2016-10-21,none,none,11.5,NA,106,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2409,2016-06-11-J07-SO-22,2016-10-21,none,none,11.1,NA,106,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2410,2016-06-11-J07-SO-23,2016-10-21,none,none,12.5,NA,112,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2300,2016-06-03-J07-SO-11,2016-10-22,none,none,9.2,NA,101,NA,NA,First use of plastic forcepts for otolith extraction.,NA,CVJ,full work-up 1,BMM
U2301,2016-05-21-J06-SO-27,2016-10-22,none,none,5.2,NA,85,NA,NA,Length estimated,NA,BMM,full work-up 1,CVJ
U2302,2016-05-21-J06-SO-29,2016-10-22,none,none,7.9,NA,96,NA,NA,Length estimated,NA,BMM,full work-up 1,CVJ
U2303,2016-05-21-J06-SO-28,2016-10-22,none,none,8.2,NA,97,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2304,2016-05-21-J06-SO-23,2016-10-22,none,none,7.2,NA,95,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2325,2016-05-21-J06-SO-25,2016-10-22,none,none,7.6,NA,96,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2326,2016-05-21-J06-SO-24,2016-10-22,none,none,5.1,NA,84,NA,NA,Length estimated,NA,BMM,full work-up 1,CVJ
U2327,2016-05-21-J06-SO-30,2016-10-22,none,none,8.9,NA,100,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2328,2016-05-21-J06-SO-26,2016-10-22,none,none,8.2,NA,94,NA,NA,Length estimated,NA,BMM,full work-up 1,CVJ
U2329,2016-05-28-J03-SO-30,2016-10-22,none,none,8.2,NA,95,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2330,2016-05-28-J03-SO-24,2016-10-22,none,none,8.8,NA,99,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2331,2016-05-28-J03-SO-25,2016-10-22,none,none,7.8,NA,99,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2332,2016-05-28-J03-SO-23,2016-10-22,none,none,8.8,NA,97,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2411,2016-06-03-J07-SO-17,2016-10-22,none,none,9.2,NA,97,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2412,2016-06-03-J07-SO-16,2016-10-22,none,none,13.8,NA,111,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2413,2016-06-03-J07-SO-18,2016-10-22,none,none,9.2,NA,98,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2414,2016-06-03-J07-SO-12,2016-10-22,none,none,9.4,NA,102,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2415,2016-06-03-J07-SO-13,2016-10-22,none,none,7.9,NA,96,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2416,2016-06-03-J07-SO-20,2016-10-22,none,none,10.7,NA,106,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2417,2016-06-03-J07-SO-14,2016-10-22,none,none,7.2,NA,90,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2333,2016-05-28-J03-SO-21,2016-10-23,none,none,11.1,NA,106,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2334,2016-05-28-J03-SO-27,2016-10-23,none,none,8.5,NA,93,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,BMM,full work-up 1,CVJ
U2335,2016-05-28-J03-SO-22,2016-10-23,none,none,8.2,NA,92,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2336,2016-05-28-J03-SO-26,2016-10-23,none,none,8.5,NA,96,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2337,2016-05-28-J03-SO-28,2016-10-23,none,none,8.3,NA,98,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2338,2016-05-28-J03-SO-29,2016-10-23,none,none,9.6,NA,97,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2339,2016-06-23-D24-SO-13,2016-10-23,none,none,17.7,NA,120,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2340,2016-06-23-D24-SO-14,2016-10-23,none,none,16.9,115,120,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2341,2016-06-23-D24-SO-16,2016-10-23,none,none,15.1,109,114,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2342,2016-06-23-D24-SO-15,2016-10-23,none,none,10.8,99,104,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2343,2016-06-23-D24-SO-12,2016-10-23,none,none,16,111,117,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2418,2016-06-03-J07-SO-21,2016-10-23,none,none,11.8,NA,111,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry,NA,CVJ,full work-up 1,BMM
U2419,2016-06-03-J07-SO-15,2016-10-23,none,none,8,NA,95,NA,NA,Fork lenth estimated.,NA,CVJ,full work-up 1,BMM
U2420,2016-06-01-D27-SO-25,2016-10-23,none,none,7.4,NA,95,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2421,2016-06-01-D27-SO-23,2016-10-23,none,none,9.2,NA,102,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2422,2016-06-01-D27-SO-24,2016-10-23,none,none,6.8,NA,89,NA,NA,NA,NA,CVJ,full work-up 1,BJ
U2344,2016-06-23-D24-SO-17,2016-10-24,none,none,15,111,116,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2345,2016-06-23-D24-SO-11,2016-10-24,none,none,16.1,103,108,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2346,2016-06-23-D24-SO-18,2016-10-24,none,none,15.8,107,113,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2347,2016-06-23-D24-SO-20,2016-10-24,none,none,16.7,110,117,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2348,2016-06-23-D24-SO-19,2016-10-24,none,none,12.7,101,107,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2349,2016-05-22-J10-SO-19,2016-11-01,none,none,9.6,97,102,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2350,2016-05-22-J10-SO-16,2016-11-01,none,none,6.8,83,87,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2351,2016-05-22-J10-SO-20,2016-11-01,none,none,7.2,79,83,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2352,2016-05-22-J10-SO-30,2016-11-01,none,none,6.1,85,89,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2353,2016-05-22-J10-SO-23,2016-11-01,none,none,6.6,85,90,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2354,2016-05-22-J10-SO-26,2016-11-01,none,none,11,104,109,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2355,2016-05-22-J10-SO-18,2016-11-01,none,none,8.6,93,98,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2423,2016-06-01-D27-SO-27,2016-11-01,none,none,7.4,NA,93,NA,NA,Only one otolith found.,NA,CVJ,full work-up 1,CVJ
U2424,2016-06-01-D27-SO-21,2016-11-01,none,none,8.1,90,95,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2425,2016-06-01-D27-SO-22,2016-11-01,none,none,7.2,84,88,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2426,2016-06-01-D27-SO-30,2016-11-01,none,none,9.5,93,97,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2427,2016-06-01-D27-SO-28,2016-11-01,none,none,9.5,91,96,NA,NA,Couldn't find otoliths!,NA,CVJ,full work-up 1,CVJ
U2428,2016-06-01-D27-SO-26,2016-11-01,none,none,8.4,90,96,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2429,2016-06-01-D27-SO-29,2016-11-01,none,none,7.3,89,94,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2430,2016-05-21-J07-SO-4,2016-11-01,none,none,8.9,89,NA,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2159,2016-05-21-J07-SO-14,2016-11-02,none,none,11.7,96,NA,NA,NA,Fork length not taken because fin clip was in fork,NA,BJ,full work-up 1,BMM
U2160,2016-05-21-J07-SO-10,2016-11-02,none,none,8.7,92,NA,NA,NA,Fork length not taken because fin clip was in fork,NA,BJ,full work-up 1,BMM
U2261,2016-05-21-J07-SO-15,2016-11-02,none,none,12.7,102,NA,NA,NA,Fork length not taken because fin clip was in fork,NA,BJ,full work-up 1,BMM
U2262,2016-05-21-J07-SO-6,2016-11-02,none,none,9.2,94,NA,NA,NA,Fork length not taken because fin clip was in fork,NA,BJ,full work-up 1,BMM
U2356,2016-05-22-J10-SO-25,2016-11-02,none,none,6.2,82,87,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2357,2016-05-22-J10-SO-27,2016-11-02,none,none,7.2,87,92,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2358,2016-05-22-J10-SO-22,2016-11-02,none,none,9.4,94,99,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2359,2016-05-26-J05-SO-26,2016-11-02,none,none,5.4,76,80,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2360,2016-05-26-J05-SO-28,2016-11-02,none,none,8.4,90,95,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2361,2016-05-26-J05-SO-23,2016-11-02,none,none,6.7,84,89,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2362,2016-05-26-J05-SO-24,2016-11-02,none,none,6.8,81,86,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2363,2016-05-26-J05-SO-22,2016-11-02,none,none,8.5,89,94,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2431,2016-05-21-J07-SO-2,2016-11-02,none,none,14.3,113,118,NA,NA,NA,NA,CVJ,full work-up 1,BJ
U2432,2016-05-21-J07-SO-8,2016-11-02,none,none,7.7,87,92,NA,NA,NA,NA,CVJ,full work-up 1,BJ
U2433,2016-05-21-J07-SO-5,2016-11-02,none,none,7.6,91,96,NA,NA,NA,NA,CVJ,full work-up 1,BJ
U2434,2016-05-21-J07-SO-13,2016-11-02,none,none,7.1,89,97,NA,NA,NA,NA,CVJ,full work-up 1,BJ
U2364,2016-05-26-J05-SO-27,2016-11-03,none,none,7,90,95,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2365,2016-05-26-J05-SO-25,2016-11-03,none,none,9.9,93,98,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2366,2016-05-26-J05-SO-21,2016-11-03,none,none,6.1,82,87,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2367,2016-05-26-J05-SO-29,2016-11-03,none,none,NA,78,83,NA,2367,Significant outer trauma. (photo taken).,NA,BMM,full work-up 1,CVJ
U2368,2016-05-26-J05-SO-30,2016-11-03,none,none,6.7,87,NA,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2369,2016-06-01-J01-SO-11,2016-11-03,none,none,14.8,113,119,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2435,2016-05-21-J07-SO-7,2016-11-03,none,none,8.6,88,NA,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2436,2016-05-21-J07-SO-1,2016-11-03,none,none,12.1,105,NA,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2437,2016-05-21-J07-SO-9,2016-11-03,none,none,9.5,96,NA,NA,NA,NA,NA,CVJ,full work-up 1,BMM
U2438,2016-05-21-J07-SO-11,2016-11-03,none,none,11.5,102,NA,NA,NA,NA,Pale kidney.,CVJ,full work-up 1,BMM
U2439,2016-05-21-J07-SO-3,2016-11-03,none,none,7.7,87,NA,NA,NA,NA,Redness around operclum and vent.,CVJ,full work-up 1,BMM
U2370,2016-06-01-J01-SO-12,2016-11-04,none,none,10.4,97,101,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2371,2016-06-01-J01-SO-14,2016-11-04,none,none,9.5,95,100,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2372,2016-06-01-J01-SO-13,2016-11-04,none,none,9.8,95,100,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2373,2016-06-01-J01-SO-15,2016-11-04,none,none,12.6,106,111,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2374,2016-06-01-J01-SO-16,2016-11-04,none,none,8.3,92,NA,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2375,2016-06-01-J01-SO-18,2016-11-04,none,none,11.7,100,106,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2376,2016-06-01-J01-SO-8,2016-11-04,none,none,11.5,105,111,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2377,2016-06-01-J01-SO-17,2016-11-04,none,none,10.6,98,103,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2441,2016-06-03-J05-SO-5,2016-11-04,none,none,7.1,92,95,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2442,2016-06-03-J05-SO-9,2016-11-04,none,none,5.8,82,86,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2443,2016-06-03-J05-SO-6,2016-11-04,none,none,6.3,89,92,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2444,2016-06-03-J05-SO-10,2016-11-04,none,none,7.1,87,NA,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2445,2016-06-03-J05-SO-8,2016-11-04,none,none,8,84,99,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2446,2016-06-03-J05-SO-3,2016-11-04,none,none,9.1,96,101,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2447,2016-06-03-J05-SO-2,2016-11-04,none,none,6.5,84,89,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2448,2016-06-03-J05-SO-4,2016-11-04,none,none,8.8,98,102,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2449,2016-06-03-J05-SO-1,2016-11-04,none,none,9.9,99,104,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2450,2016-06-03-J05-SO-7,2016-11-04,none,none,9.5,96,NA,NA,NA,NA,NA,CVJ,lice enumeration only - in lab,BMM
U2263,2016-05-21-J08-SO-1,2016-11-05,none,none,11.9,101,105,NA,NA,NA,Pale heart,BJ,full work-up 1,BMM
U2264,2016-05-21-J08-SO-5,2016-11-05,none,none,9.3,96,NA,NA,NA,NA,Pale kidney,BJ,full work-up 1,BMM
U2378,2016-06-14-D27-SO-2,2016-11-05,none,none,12.1,100,106,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2379,2016-06-14-D27-SO-1,2016-11-05,none,none,14.3,106,112,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2380,2016-06-14-D27-SO-5,2016-11-05,none,none,12.2,104,110,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2381,2016-06-14-D27-SO-4,2016-11-07,none,none,8.2,94,NA,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2382,2016-06-14-D27-SO-3,2016-11-07,none,none,10,96,102,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2383,2016-06-14-D27-SO-7,2016-11-07,none,none,13.1,105,110,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2384,2016-06-03-D24-SO-5,2016-11-07,none,none,6.8,85,90,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2385,2016-06-03-D24-SO-10,2016-11-07,none,none,11.1,100,105,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2386,2016-06-03-D24-SO-6,2016-11-07,none,none,6.4,83,87,NA,2386,Lesions on posterior flanks; see photo,NA,BMM,full work-up 1,CVJ
U2387,2016-06-03-D24-SO-9,2016-11-07,none,none,7,88,96,NA,2387,Lesions on posterior flanks; see photo,NA,BMM,full work-up 1,CVJ
U2388,2016-06-03-D24-SO-1,2016-11-07,none,none,7.2,90,NA,NA,NA,NA,NA,BMM,full work-up 1,CVJ
U2451,2016-05-21-J08-SO-9,2016-11-07,none,none,9.5,100,NA,NA,NA,Otoliths were extracted with metal tweezers.,NA,CVJ,full work-up 1,JG
U2452,2016-05-21-J08-SO-8,2016-11-07,none,none,9.7,101,NA,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2453,2016-05-21-J08-SO-12,2016-11-07,none,none,8.8,92,NA,NA,NA,Samples somewhat thawed due to training new employee.,Pale liver.,CVJ,full work-up 1,CVJ
U2454,2016-05-21-J08-SO-14,2016-11-08,none,none,10.2,101,NA,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2455,2016-05-21-J08-SO-11,2016-11-08,none,none,8.6,95,NA,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2601,2016-06-23-D24-SO-8,2016-11-08,none,none,18.8,107,NA,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2602,2016-06-23-D24-SO-6,2016-11-08,none,none,17.2,105,110,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2456,2016-05-21-J08-SO-7,2016-11-09,none,none,9.5,99,NA,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2457,2016-05-21-J08-SO-13,2016-11-09,none,none,11.8,90,NA,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2458,2016-05-21-J08-SO-6,2016-11-09,none,none,10,96,NA,NA,2458,NA,Brains several individulas in this subsample had a reddness in the middle of the brain. a red dot in the middle of the three lobes. picture taken.,CVJ,full work-up 1,JG
U2459,2016-06-03-D24-SO-7,2016-11-09,none,none,5.9,81,86,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2460,2016-06-03-D24-SO-2,2016-11-09,none,none,6.4,86,90,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2461,2016-06-03-D24-SO-4,2016-11-09,none,none,8,92,96,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2462,2016-06-03-D24-SO-3,2016-11-09,none,none,8.8,94,99,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2463,2016-06-03-D24-SO-8,2016-11-09,none,none,6.6,85,90,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2603,2016-06-23-D24-SO-5,2016-11-09,none,none,13.2,103,107,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2604,2016-06-23-D24-SO-3,2016-11-09,none,none,13.5,100,NA,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2605,2016-06-23-D24-SO-9,2016-11-09,none,none,21.4,123,130,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2606,2016-06-23-D24-SO-2,2016-11-09,none,none,20.4,109,114,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2701,2016-06-23-D24-SO-1,2016-11-09,none,none,25.8,125,130,NA,NA,Only 1 otolith found,Pale spleen,JG,full work-up 1,CVJ
U2702,2016-06-23-D24-SO-7,2016-11-09,none,none,14.4,103,109,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2703,2016-06-23-D24-SO-4,2016-11-09,none,none,15.7,107,113,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2704,2016-06-23-D24-SO-10,2016-11-09,none,none,23.2,122,128,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2705,2016-05-27-J06-SO-28,2016-11-09,none,none,8,89,95,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2706,2016-05-27-J06-SO-20,2016-11-09,none,none,8.5,90,NA,NA,NA,Lost 1 otolith,"Unidentified ""sac"" (transclucent exterior; pale-beige interior) found attached to side of anal fin",JG,full work-up 1,CVJ
U2707,2016-05-27-J06-SO-25,2016-11-09,none,none,7.1,87,92,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2464,2016-05-26-J04-SO-1,2016-11-10,none,none,7,87,92,NA,NA,NA,Small spleen.,CVJ,full work-up 1,JG
U2465,2016-05-26-J04-SO-5,2016-11-10,none,none,6.8,88,NA,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2466,2016-05-26-J04-SO-2,2016-11-10,none,none,6.7,83,NA,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2467,2016-05-26-J04-SO-3,2016-11-10,none,none,7.2,87,NA,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2468,2016-05-26-J04-SO-4,2016-11-10,none,none,8.4,94,98,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2469,2016-05-26-J04-SO-7,2016-11-10,none,none,8.8,91,96,NA,2469,NA,Flabellifera found.,CVJ,full work-up 1,JG
U2470,2016-05-26-J04-SO-6,2016-11-10,none,none,6.1,87,NA,NA,NA,NA,NA,CVJ,full work-up 1,JG
U2607,2016-05-27-J06-SO-24,2016-11-10,none,none,8.8,98,103,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2608,2016-05-27-J06-SO-30,2016-11-10,none,none,7,91,NA,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2609,2016-05-27-J06-SO-22,2016-11-10,none,none,7.6,88,NA,NA,NA,Left out to thaw by accident after the RNA samples were taken. carcass thawed.,NA,MF,full work-up 1,CVJ
U2610,2016-05-20-J05-SO-1,2016-11-10,none,none,7.3,92,NA,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2611,2016-05-20-J05-SO-6,2016-11-10,none,none,5.9,83,NA,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2708,2016-05-27-J06-SO-26,2016-11-10,none,none,6.4,81,87,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2709,2016-05-27-J06-SO-29,2016-11-10,none,none,8.1,84,88,NA,NA,NA,Small spleen,JG,full work-up 1,CVJ
U2710,2016-05-27-J06-SO-23,2016-11-10,none,none,7,83,88,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2711,2016-05-27-J06-SO-27,2016-11-10,none,none,7.7,85,90,NA,NA,NA,Pale ventricle,JG,full work-up 1,CVJ
U2712,2016-05-20-J05-SO-7,2016-11-10,none,none,10.4,102,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2713,2016-05-20-J05-SO-3,2016-11-10,none,none,8.6,90,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2714,2016-05-20-J05-SO-5,2016-11-10,none,none,5.9,83,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2715,2016-05-20-J05-SO-9,2016-11-10,none,none,6.6,85,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2716,2016-05-20-J05-SO-4,2016-11-10,none,none,7.2,86,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2471,2016-06-01-J01-SO-5,2016-11-11,none,none,7.5,89,NA,NA,NA,NA,NA,CVJ,full work-up 1,CVJ
U2717,2016-05-20-J05-SO-10,2016-11-11,none,none,11.6,104,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2718,2016-05-20-J05-SO-8,2016-11-12,none,none,7.5,86,NA,NA,NA,NA,NA,JG,full work-up 1,BJ
U2719,2016-05-20-J05-SO-2,2016-11-12,none,none,8,86,NA,NA,NA,NA,Pale liver,JG,full work-up 1,BJ
U2720,2016-05-26-J04-SO-10,2016-11-12,none,none,8.3,88,94,NA,NA,NA,NA,JG,full work-up 1,BJ
U2721,2016-05-26-J04-SO-9,2016-11-12,none,none,6.7,81,NA,NA,NA,NA,NA,JG,full work-up 1,BJ
U2722,2016-05-26-J04-SO-8,2016-11-12,none,none,8,88,92,NA,NA,NA,NA,JG,full work-up 1,BJ
U2723,2016-06-11-J06-SO-27,2016-11-12,none,none,10.9,100,106,NA,NA,NA,NA,JG,full work-up 1,BJ
U2724,2016-06-11-J06-SO-23,2016-11-12,none,none,9.7,99,104,NA,NA,NA,NA,JG,full work-up 1,BJ
U2725,2016-06-11-J06-SO-24,2016-11-12,none,none,11.3,98,103,NA,NA,NA,Small spleen,JG,full work-up 1,BJ
U2726,2016-06-11-J06-SO-25,2016-11-13,none,none,8.7,89,94,NA,NA,NA,NA,JG,full work-up 1,MF
U2727,2016-06-11-J06-SO-21,2016-11-13,none,none,8.1,89,NA,NA,2727,NA,Lesion on left side,JG,full work-up 1,MF
U2728,2016-06-11-J06-SO-28,2016-11-13,none,none,11.5,102,107,NA,NA,NA,NA,JG,full work-up 1,MF
U2729,2016-06-11-J06-SO-22,2016-11-13,none,none,13.9,106,111,NA,NA,NA,NA,JG,full work-up 1,MF
U2730,2016-06-11-J06-SO-26,2016-11-13,none,none,10.8,101,NA,NA,NA,NA,NA,JG,full work-up 1,MF
U2731,2016-06-11-J06-SO-29,2016-11-13,none,none,10.7,102,108,NA,NA,NA,NA,JG,full work-up 1,MF
U2732,2016-06-09-J10-SO-6,2016-11-13,none,none,12.9,105,111,NA,NA,NA,NA,JG,full work-up 1,MF
U2733,2016-06-09-J10-SO-5,2016-11-13,none,none,12.2,104,110,NA,NA,NA,NA,JG,full work-up 1,MF
U2612,2016-05-14-D24-SO-18,2016-11-14,none,none,10.7,99,104,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2613,2016-05-14-D24-SO-17,2016-11-14,none,none,7.5,89,94,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2614,2016-05-14-D24-SO-20,2016-11-14,none,none,7.9,96,NA,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2615,2016-05-14-D24-SO-29,2016-11-14,none,none,11.9,107,112,NA,NA,NA,NA,MF,full work-up 1,CVJ
U2616,2016-05-14-D24-SO-28,2016-11-14,none,none,16,114,120,NA,NA,NA,1 broken otolith,MF,full work-up 1,CVJ
U2734,2016-06-09-J10-SO-4,2016-11-14,none,none,11.7,97,NA,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2735,2016-06-09-J10-SO-8,2016-11-14,none,none,8.5,91,96,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2736,2016-06-09-J10-SO-7,2016-11-14,none,none,9.5,96,101,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2737,2016-06-09-J10-SO-9,2016-11-14,none,none,7.9,94,99,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2738,2016-06-09-J10-SO-2,2016-11-14,none,none,9.5,95,101,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2739,2016-06-09-J10-SO-3,2016-11-14,none,none,12,102,107,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2740,2016-06-09-J10-SO-1,2016-11-14,none,none,10.3,97,102,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2741,2016-06-09-J10-SO-10,2016-11-14,none,none,8.5,90,95,NA,NA,NA,NA,JG,full work-up 1,CVJ
U2617,2016-05-14-D24-SO-21,2016-11-17,none,none,11.7,108,113,NA,NA,NA,NA,MF,full work-up 1,MF
U2618,2016-05-14-D24-SO-16,2016-11-17,none,none,6.8,87,92,NA,NA,NA,NA,MF,full work-up 1,MF
U2619,2016-05-14-D24-SO-30,2016-11-17,none,none,11.4,104,109,NA,NA,NA,NA,MF,full work-up 1,MF
